filename,S,PT,Gr,PR,PM,BF,BG,BR,BH,BV,FR,FG,FH,FV,Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths,regime
Run_S10_PT11_Gr43_PR13_PM132_BF8_BG17_BR11_BH8_BV0.5_FR15_FG31_FH58_FV1.0_IF6_IG16_IR19_IH70_IV2.1.csv,10,11,43,13,132,8,17,11,8,0.5,15,31,58,1.0,999.0,324.0,0.0,397.0,775.98,18308.0,9050.0,1608.0,22887.0,2
Run_S10_PT11_Gr47_PR5_PM119_BF6_BG18_BR18_BH8_BV1.5_FR15_FG45_FH31_FV1.5_IF7_IG0_IR11_IH48_IV0.4.csv,10,11,47,5,119,6,18,18,8,1.5,15,45,31,1.5,999.0,380.0,0.0,145.0,279.12,3909.0,3138.0,750.0,7913.0,2
Run_S10_PT11_Gr60_PR21_PM218_BF4_BG9_BR19_BH4_BV2.5_FR25_FG39_FH1_FV2.4_IF7_IG1_IR13_IH69_IV0.7.csv,10,11,60,21,218,4,9,19,4,2.5,25,39,1,2.4,999.0,0.0,0.0,0.0,2232.0,6759.0,983.0,2432.0,4981.0,0
Run_S10_PT11_Gr71_PR12_PM134_BF4_BG9_BR17_BH4_BV0.5_FR24_FG47_FH37_FV1.9_IF5_IG5_IR18_IH23_IV1.5.csv,10,11,71,12,134,4,9,17,4,0.5,24,47,37,1.9,999.0,0.0,0.0,0.0,2641.0,6224.0,3829.0,839.0,3599.0,0
Run_S10_PT11_Gr71_PR24_PM188_BF7_BG9_BR16_BH19_BV0.4_FR12_FG26_FH75_FV2.0_IF4_IG3_IR19_IH59_IV2.3.csv,10,11,71,24,188,7,9,16,19,0.4,12,26,75,2.0,999.0,809.0,0.0,212.0,703.95,12034.0,11847.0,955.0,7491.0,2
Run_S10_PT11_Gr72_PR16_PM131_BF5_BG14_BR14_BH1_BV1.2_FR24_FG29_FH92_FV0.9_IF3_IG5_IR8_IH73_IV2.3.csv,10,11,72,16,131,5,14,14,1,1.2,24,29,92,0.9,999.0,3413.0,0.0,0.0,41.53,5516.0,4603.0,11682.0,51902.0,1
Run_S10_PT11_Gr75_PR16_PM176_BF8_BG7_BR19_BH3_BV1.7_FR21_FG29_FH11_FV1.5_IF8_IG4_IR15_IH98_IV2.0.csv,10,11,75,16,176,8,7,19,3,1.7,21,29,11,1.5,999.0,1361.0,0.0,0.0,59.18,1869.0,3631.0,8359.0,3407.0,1
Run_S10_PT11_Gr77_PR17_PM168_BF8_BG15_BR13_BH10_BV1.0_FR28_FG28_FH68_FV2.8_IF6_IG6_IR10_IH8_IV1.5.csv,10,11,77,17,168,8,15,13,10,1.0,28,28,68,2.8,999.0,1406.0,0.0,496.0,619.6,40218.0,21151.0,3219.0,9560.0,2
Run_S10_PT11_Gr79_PR14_PM55_BF5_BG16_BR9_BH3_BV1.1_FR28_FG39_FH63_FV0.9_IF6_IG6_IR19_IH63_IV1.1.csv,10,11,79,14,55,5,16,9,3,1.1,28,39,63,0.9,999.0,1016.0,0.0,1099.0,1310.11,44272.0,22199.0,3122.0,27610.0,2
Run_S10_PT11_Gr85_PR6_PM124_BF10_BG16_BR9_BH19_BV2.7_FR21_FG34_FH27_FV0.7_IF9_IG8_IR10_IH84_IV2.1.csv,10,11,85,6,124,10,16,9,19,2.7,21,34,27,0.7,999.0,509.0,0.0,255.0,496.23,16063.0,12400.0,2223.0,16825.0,2
Run_S10_PT11_Gr88_PR21_PM171_BF3_BG7_BR18_BH4_BV0.9_FR16_FG17_FH38_FV1.2_IF7_IG0_IR12_IH7_IV2.9.csv,10,11,88,21,171,3,7,18,4,0.9,16,17,38,1.2,999.0,909.0,0.0,206.0,1281.26,24818.0,10172.0,1936.0,7026.0,2
Run_S10_PT11_Gr90_PR6_PM160_BF9_BG15_BR15_BH3_BV1.5_FR20_FG17_FH26_FV1.2_IF2_IG6_IR19_IH25_IV0.3.csv,10,11,90,6,160,9,15,15,3,1.5,20,17,26,1.2,999.0,757.0,0.0,0.0,84.75,2548.0,2630.0,2343.0,13233.0,1
Run_S10_PT11_Gr92_PR16_PM224_BF10_BG15_BR14_BH14_BV2.0_FR21_FG15_FH9_FV2.2_IF7_IG11_IR19_IH7_IV2.3.csv,10,11,92,16,224,10,15,14,14,2.0,21,15,9,2.2,999.0,0.0,0.0,0.0,3423.0,6467.0,1767.0,726.0,1606.0,0
Run_S10_PT12_Gr12_PR13_PM87_BF8_BG15_BR14_BH17_BV0.7_FR30_FG20_FH51_FV0.2_IF7_IG17_IR16_IH3_IV1.6.csv,10,12,12,13,87,8,15,14,17,0.7,30,20,51,0.2,999.0,258.0,0.0,0.0,182.39,70.0,1730.0,503.0,4496.0,1
Run_S10_PT12_Gr16_PR13_PM191_BF9_BG9_BR9_BH15_BV2.2_FR17_FG18_FH34_FV2.7_IF4_IG11_IR19_IH15_IV1.4.csv,10,12,16,13,191,9,9,9,15,2.2,17,18,34,2.7,999.0,350.0,0.0,0.0,80.95,354.0,2293.0,739.0,7059.0,1
Run_S10_PT12_Gr19_PR24_PM225_BF9_BG8_BR8_BH3_BV1.2_FR30_FG35_FH23_FV0.1_IF7_IG15_IR18_IH20_IV2.0.csv,10,12,19,24,225,9,8,8,3,1.2,30,35,23,0.1,999.0,241.0,0.0,88.0,228.55,4284.0,1319.0,1183.0,6430.0,2
Run_S10_PT12_Gr29_PR18_PM89_BF6_BG8_BR15_BH4_BV1.8_FR18_FG20_FH65_FV2.1_IF10_IG2_IR16_IH77_IV0.4.csv,10,12,29,18,89,6,8,15,4,1.8,18,20,65,2.1,999.0,463.0,0.0,49.0,182.96,2825.0,2303.0,2063.0,3196.0,2
Run_S10_PT12_Gr32_PR15_PM231_BF9_BG17_BR15_BH15_BV2.7_FR14_FG23_FH68_FV1.2_IF4_IG16_IR10_IH25_IV2.1.csv,10,12,32,15,231,9,17,15,15,2.7,14,23,68,1.2,999.0,315.0,0.0,186.0,296.69,13959.0,9083.0,1256.0,11410.0,2
Run_S10_PT12_Gr32_PR23_PM55_BF8_BG11_BR18_BH13_BV1.6_FR18_FG27_FH80_FV0.7_IF7_IG16_IR16_IH11_IV0.4.csv,10,12,32,23,55,8,11,18,13,1.6,18,27,80,0.7,999.0,401.0,0.0,132.0,420.47,5855.0,6119.0,1892.0,3432.0,2
